TRAP,Source,Type,LU_Around,LU_Top,DiameterMax,HeightMax,Condition,PrincipalSourceOfImpact,distTown,elevAster,slopeAster,aspectAster,prom250mbuff,TPI,TRI,rough,northing,easting
9228,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,20,2,5,Agriculture,914.2853465324547,203.0859375,3.8494637706431933,144.9195343766816,79.72,0.7914161682128906,1.5001106262207031,4.7915802001953125,4671467.1999,447117.5597
9125,Legacy verification,Burial Mound,Pasture,Pasture,30,1,3,Looting,1235.4286345035343,228.21270751953125,5.455860181118072,220.80838114686017,0,0.595001220703125,2.0763397216796875,6.9939727783203125,4672300.5862,449979.746
9126,Legacy verification,Burial Mound,Pasture,Pasture,40,2.5,4,Looting,989.4159888184429,260.8233337402344,3.558470509783399,266.226546817696,56.32,0.5967864990234375,1.1659622192382813,3.365020751953125,4672598.1556,450390.0089
9127,Legacy verification,Burial Mound,Pasture,Pasture,25,2,3,Looting,1121.5791551062312,246.7843475341797,9.561822772098155,312.53669820798933,17.99,0.7153892517089844,3.4098281860351562,12.664825439453125,4672702.0734,450300.285
9132,Legacy verification,Burial Mound,Pasture,Pasture,25,2,2,Looting,394.0973894323744,283,0.6374939039223589,300.50708398890015,57.19,-0.24167251586914063,0.3843803405761719,1.42987060546875,4672926.6129,451351.0725
6030,survey,Burial Mound,Pasture,Scrub,34,4,2,Looting,537.240290194944,261.37066650390625,5.383740178281023,252.387365296303,14.44,-0.07733154296875,1.784759521484375,5.980224609375,4673062.5677,447623.024
9234,Legacy verification,Burial Mound,Annual agriculture,Pasture,15,0.5,5,Agriculture,2576.352539663306,232.23196411132812,2.2638953236433497,250.03718833175205,60.36,0.6971282958984375,1.2025604248046875,2.954986572265625,4674229.1699,449534.1176
9233,Legacy verification,Burial Mound,Forest,Scrub,25,1.5,5,Looting,2666.8261013828997,299.05096435546875,2.3005852563298053,310.5645977840475,86.91,-0.38555908203125,1.0819778442382813,3.386962890625,4675047.8276,450515.1766
9231,Legacy verification,Burial Mound,Pasture,Scrub,15,0.5,5,Looting,3495.6928939161226,332.4849853515625,2.506767263173006,287.14578894085815,49.64,1.6972541809082031,1.8025016784667969,3.515716552734375,4675847.279,449604.8773
9166,Legacy verification,Burial Mound,Pasture,Pasture,30,5,3,Construction,0,248.02207946777344,3.269070616080261,213.61780808896654,62.23,0.2964191436767578,1.300130844116211,4.3697967529296875,4672533.7336,446709.1069
9232,Legacy verification,Burial Mound,Pasture,Scrub,20,1.5,4,Looting,3475.8675307044664,312.30865478515625,3.419438142624115,4.8606871402543925,49.46,0.9602813720703125,1.5272750854492187,5.215728759765625,4676033.1066,449283.8138
9235,Legacy verification,Burial Mound,Forest,Scrub,35,3.5,5,Looting,2045.1820914777968,193.24192810058594,5.968754062742806,320.58543888873646,31.52,-0.14486312866210938,2.2024459838867187,8.1650848388671875,4677038.8819,451034.6874
